time,data
1723112548.42,10780697000
1723112559.22,10710556000
1723112569.64,10540613000
1723112580.09,10419912000
1723112590.52,10346876000
1723112600.79,10283459000
1723112610.88,10076123000
1723112620.76,9926871000
1723112630.66,9927554000
1723112640.56,9939032000
1723112650.47,9863190000
1723112660.37,9782287000
1723112670.27,9909220000
1723112680.01,9812635000
1723112689.73,9770627000
1723112699.64,9766585000
1723112709.2,9725868000
1723112719.1,9892563000
1723112729.18,9945920000
1723112739.09,10012222000
1723112749.01,9888576000
1723112759.08,10064240000
1723112769.16,10162015000
1723112779.42,10130500000
1723112789.33,10017536000
1723112799.6,10157500000
1723112809.68,10046147000
1723112819.58,10031394000
1723112829.48,9945615000
1723112839.57,10015386000
1723112849.65,9995788000
1723112859.56,10011762000
1723112869.64,10036300000
1723112879.72,10068795000
1723112889.46,9823788000
1723112899.36,9808304000
1723112909.09,9696524000
1723112918.82,9707313000
1723112928.73,9949109000
1723112938.46,9830275000
1723112948.18,9754728000
1723112957.93,9638415000
1723112967.82,9847812000
1723112977.72,9878833000
1723112987.62,9975286000
1723112997.9,10232233000
1723113008.32,10539664000
1723113018.75,10427448000
1723113029.36,10464947000
1723113039.8,10442341000
1723113050.23,10596091000
1723113060.85,10617585000
1723113071.81,10823536000
1723113083.01,11226629000
1723113093.92,10929492000
1723113104.71,10869133000
1723113115.68,10890347000
1723113126.14,10467287000
1723113136.73,10556472000
1723113147.88,11161292000
1723113159.55,11643007000
1723113171.76,12248060000
1723113183.78,11961102000
1723113194.93,11148833000
1723113206.42,11585256000
1723113217.93,11520052000
1723113229.24,11295622000
1723113240.73,11432750000
1723113252.23,11597899000
1723113263.2,10902779000
1723113273.82,10696888000
1723113284.43,10569186000
1723113295.22,10721702000
1723113306.01,10760024000
1723113316.79,10848410000
1723113327.41,10596172000
1723113337.68,10259494000
1723113347.94,10231910000
1723113358.01,10095778000
1723113368.1,10161788000
1723113378.35,10263923000
1723113388.43,10050772000
1723113398.51,10114746000
1723113408.97,10391232000
1723113419.56,10660453000
