%time,field.data
1726796617464333460,13447229000
1726796630937235519,13453232000
1726796644247498890,13394409000
1726796657363123751,13101711000
1726796670139270907,12771508000
1726796682716328140,12502053000
1726796694945062908,12249157000
1726796706824085906,11969412000
1726796718695708184,11764366000
1726796730216910923,11586378000
1726796741740755695,11415905000
1726796752908515039,11233055000
1726796764086189100,11107105000
1726796775073107972,10996340000
1726796786068408488,10985608000
1726796796880907463,10928642000
1726796807699149585,10709033000
1726796818340728380,10770068000
1726796829158595434,10819324000
