%time,field.data
1726796211499761472,13553447000
1726796224794721005,13303497000
1726796238098623142,13274855000
1726796251028660586,12984811000
1726796263806305987,12642071000
1726796276036018165,12321882000
1726796288092971830,12069588000
1726796299980059394,11817081000
1726796311493406472,11603188000
1726796322848040702,11386156000
1726796334187640710,11190826000
1726796345173818707,11044491000
1726796355981985403,10897659000
1726796366798126302,10758413000
1726796377435737368,10667469000
1726796388074640057,10567109000
1726796398536269164,10502580000
1726796408999478132,10435985000
1726796419449700367,10391815000
1726796429914511658,10494754000
