time,data
1726937011.91,10570035000
1726937022.54,10680053000
1726937033.02,10509292000
1726937043.3,10241548000
1726937053.23,9980502000
1726937062.98,9713355000
1726937072.55,9545253000
1726937081.95,9374745000
1726937091.17,9215277000
1726937100.21,9054927000
1726937109.25,8983537000
1726937117.95,8812351000
1726937126.82,8742344000
1726937135.52,8756270000
1726937144.04,8576339000
1726937152.73,8682891000
1726937161.42,8607302000
1726937170.28,8912886000
1726937179.32,9026500000
1726937188.19,8858194000
1726937197.23,9011712000
1726937206.46,9265704000
1726937215.51,9097538000
1726937224.91,9434785000
