time,data
1726941527.92,10570410000
1726941538.39,10579710000
1726941548.86,10455552000
1726941559.14,10195164000
1726941569.07,9932777000
1726941578.83,9673032000
1726941588.21,9489591000
1726941597.61,9324746000
1726941606.65,9095670000
1726941615.52,8911729000
1726941624.38,8751474000
1726941632.89,8660464000
1726941641.58,8584293000
1726941649.92,8419353000
1726941658.26,8360096000
1726941666.6,8238270000
1726941674.76,8136564000
1726941682.73,8106791000
1726941690.88,8091302000
1726941699.03,8130820000
1726941707.19,8091617000
1726941715.53,8348207000
1726941723.88,8312043000
1726941732.56,8714941000
1726941741.24,8742435000
1726941750.28,9107915000
