seg 1 2 3 4 5 6 7 min avg max
12 nan nan nan nan nan nan nan NaN NaN NaN
13 22.071476 21.990182 22.274160 22.093773 22.042024 22.050208 22.057439 21.990182 22.082752 22.274160
14 nan nan nan nan nan nan nan NaN NaN NaN
15 22.631417 23.008020 22.723857 22.620900 22.760901 22.488644 22.971784 22.488644 22.743646 23.008020
16 21.836162 21.873580 21.847602 21.802188 21.807238 21.848927 21.919737 21.802188 21.847919 21.919737
17 22.082319 21.894235 21.799514 22.039263 22.066321 21.856822 21.804681 21.799514 21.934736 22.082319
18 20.950614 21.004281 20.997370 20.974750 21.071735 20.941676 21.099668 20.941676 21.005728 21.099668
19 21.188162 21.142905 21.311441 21.227748 21.231981 21.203562 21.275706 21.142905 21.225929 21.311441
20 21.119487 21.121586 21.131200 21.058296 21.129155 21.115770 21.202196 21.058296 21.125384 21.202196
21 20.994110 21.028382 20.984587 21.009324 20.921389 21.033204 21.078035 20.921389 21.007004 21.078035
22 20.766230 21.049592 20.985255 20.870206 20.889072 20.892280 20.846165 20.766230 20.899829 21.049592
23 20.869169 20.990605 20.877648 20.776679 20.817373 20.785814 20.788049 20.776679 20.843620 20.990605
24 20.757002 20.856309 20.906460 20.755547 20.798829 20.737158 21.107292 20.737158 20.845514 21.107292
25 21.102716 20.954592 21.132638 21.058574 21.014687 21.086051 21.124247 20.954592 21.067644 21.132638
26 21.218728 21.023283 20.876701 21.107149 20.942382 21.192966 21.066704 20.876701 21.061130 21.218728
27 21.079915 20.953080 20.993553 20.836845 20.766559 20.969323 20.803777 20.766559 20.914722 21.079915
28 20.973864 21.114881 20.919029 20.952561 20.982203 20.997175 20.985706 20.919029 20.989346 21.114881
29 21.074295 21.291179 21.175816 21.327088 21.001211 21.125158 21.227656 21.001211 21.174629 21.327088
30 21.322272 21.011612 21.077814 21.156272 21.323117 21.050282 21.135788 21.011612 21.153880 21.323117
31 21.623086 21.272287 20.955393 21.413255 21.031533 21.023154 21.250601 20.955393 21.224187 21.623086
32 21.291516 21.280492 21.292906 21.298910 21.246094 21.186765 20.903936 20.903936 21.214374 21.298910
33 21.063194 21.254463 21.404512 21.177097 21.175515 21.185052 21.120541 21.063194 21.197196 21.404512
34 21.252054 21.229480 21.238822 21.355965 21.224957 21.008692 21.480583 21.008692 21.255793 21.480583
35 21.107548 21.045508 21.310185 21.408972 21.226701 21.484627 21.082169 21.045508 21.237959 21.484627
36 21.170347 21.366277 21.482607 21.257573 21.315403 21.080889 21.242213 21.080889 21.273616 21.482607
37 21.247520 21.285062 21.094152 21.292259 21.105352 21.479827 21.186095 21.094152 21.241467 21.479827
38 21.588643 21.226343 21.279972 21.502774 21.418206 21.312262 21.377204 21.226343 21.386486 21.588643
39 21.472163 21.703553 21.476646 21.493842 21.635889 21.485083 21.682448 21.472163 21.564232 21.703553
40 21.537271 21.651523 21.547343 21.504798 21.573927 21.692844 21.700505 21.504798 21.601173 21.700505
41 21.649153 21.615020 21.665327 21.614707 21.411126 21.379473 21.752399 21.379473 21.583886 21.752399
42 21.614064 21.758444 21.723159 21.732596 21.564213 21.638272 21.625329 21.564213 21.665154 21.758444
43 21.911783 21.824365 21.423900 21.749276 21.773928 21.912768 21.896532 21.423900 21.784650 21.912768
44 21.958307 21.783013 21.738402 21.996524 21.811835 21.694448 21.812803 21.694448 21.827905 21.996524
45 21.823154 21.683352 21.989172 21.785656 22.042078 21.919611 21.864326 21.683352 21.872478 22.042078
46 22.182264 21.785608 21.915869 21.907197 22.164789 22.251805 22.171271 21.785608 22.054115 22.251805
47 21.909211 22.084824 22.032913 21.946661 21.935329 22.053274 22.039300 21.909211 22.000216 22.084824
48 22.055720 21.940647 21.897799 22.058861 21.883654 22.015486 22.065336 21.883654 21.988215 22.065336
49 22.193811 21.909292 22.087271 21.897156 22.264134 22.042499 22.199721 21.897156 22.084841 22.264134
50 22.246168 21.972679 22.167240 21.927614 21.842512 22.123064 22.290531 21.842512 22.081401 22.290531
