seg 1 2 3 4 5 6 7 8 9 min avg max
17 nan nan nan nan nan nan nan nan nan NaN NaN NaN
18 nan nan nan nan nan nan nan nan nan NaN NaN NaN
19 nan nan nan nan nan nan nan nan nan NaN NaN NaN
20 nan nan nan nan nan nan nan nan nan NaN NaN NaN
21 nan nan nan nan nan nan nan nan nan NaN NaN NaN
22 nan nan nan nan nan nan nan nan nan NaN NaN NaN
23 21.687976 21.642592 21.558520 21.572298 21.726834 21.560249 21.578972 21.601167 21.685549 21.558520 21.623795 21.726834
24 nan nan nan nan nan nan nan nan nan NaN NaN NaN
25 nan nan nan nan nan nan nan nan nan NaN NaN NaN
26 21.684658 22.056506 22.041243 22.068576 21.908181 21.941252 21.981420 22.070122 21.924962 21.684658 21.964102 22.070122
27 nan nan nan nan nan nan nan nan nan NaN NaN NaN
28 22.326204 22.029870 22.194682 22.009236 22.417646 22.166204 22.122936 22.225694 21.780672 21.780672 22.141460 22.417646
29 21.581874 21.583658 21.438175 21.616898 21.614280 21.677233 21.420164 21.556502 21.669757 21.420164 21.573171 21.677233
30 22.004612 21.987001 21.825903 21.907826 21.814287 21.990057 22.122423 21.775306 22.235676 21.775306 21.962566 22.235676
31 21.663978 21.796199 21.721973 21.729064 21.915471 21.951359 21.893598 21.504832 21.975890 21.504832 21.794707 21.975890
32 21.633963 21.559151 21.357728 21.505316 21.372624 21.880999 21.778505 21.552017 21.876319 21.357728 21.612958 21.880999
33 22.044393 21.884832 21.727770 21.880586 21.964081 22.306296 22.003095 21.998576 21.833479 21.727770 21.960345 22.306296
34 21.888078 21.740592 21.573259 21.947881 21.749826 21.807972 21.606978 21.659078 21.552303 21.552303 21.725107 21.947881
35 21.873647 21.981172 21.669371 21.761407 21.597222 21.979939 21.665268 21.915820 21.654405 21.597222 21.788695 21.981172
36 21.924602 21.588478 21.559745 21.715467 21.662183 21.509798 21.662165 21.685972 21.701531 21.509798 21.667771 21.924602
37 21.693550 21.530342 21.882242 21.674242 21.688699 21.625199 21.687798 21.679248 21.541448 21.530342 21.666974 21.882242
38 21.721277 21.936392 21.872060 21.725034 21.785933 21.790912 22.125154 21.709652 22.096432 21.709652 21.862538 22.125154
39 21.951000 22.013287 21.958891 22.148143 22.144869 22.331413 21.889504 21.898268 21.708813 21.708813 22.004910 22.331413
40 21.803584 21.796683 21.620367 22.254625 21.807198 21.676100 21.766602 21.944847 21.787971 21.620367 21.828664 22.254625
41 21.759607 21.881376 21.890318 21.585994 21.853765 21.972305 22.076096 21.844324 21.704658 21.585994 21.840938 22.076096
42 22.202434 21.985754 22.190625 21.942371 21.787003 21.785048 21.990741 21.792673 21.874258 21.785048 21.950101 22.202434
43 21.659004 21.691579 21.812617 21.721440 21.694790 21.737766 21.677203 21.681661 21.744904 21.659004 21.713440 21.812617
44 22.083780 21.892048 21.861139 21.942173 22.238741 22.017705 21.884515 22.080589 21.971732 21.861139 21.996936 22.238741
45 22.080797 22.120622 22.005358 22.108964 22.306592 22.134524 22.191193 22.551805 22.216689 22.005358 22.190727 22.551805
46 21.958678 21.919721 21.999799 22.054314 21.955760 22.011634 21.783910 21.862286 21.820495 21.783910 21.929622 22.054314
47 21.960501 22.246078 22.195926 21.888657 22.235059 22.023594 22.158224 22.163287 21.859141 21.859141 22.081163 22.246078
48 22.507378 22.087647 22.138599 22.237674 22.194697 22.429336 22.230384 22.273662 22.147937 22.087647 22.249702 22.507378
49 21.908032 22.045647 22.083486 22.231401 22.027801 21.945717 21.994569 22.090838 22.352405 21.908032 22.075544 22.352405
50 22.537592 22.459993 22.113566 22.133039 22.573768 22.164373 22.099306 22.744659 22.237564 22.099306 22.340429 22.744659
