seg 1 2 3 4 5 6 7 min avg max
12 nan nan nan nan nan nan nan NaN NaN NaN
13 20.906545 nan 21.072313 nan 20.899327 20.906685 nan 20.899327 NaN NaN
14 21.016994 21.071967 20.847359 100000.000000 21.031337 20.935515 21.038470 20.847359 14303.705949 100000.000000
15 20.640901 20.643133 20.654309 20.647563 20.564541 20.587467 20.703129 20.564541 20.634435 20.703129
16 20.500849 20.641017 20.752908 20.632897 20.586480 20.605247 20.561118 20.500849 20.611502 20.752908
17 20.509980 20.532657 20.497489 20.570936 20.505714 20.606457 20.670265 20.497489 20.556214 20.670265
18 20.494757 20.458109 20.443868 20.426368 20.382117 20.465748 20.420875 20.382117 20.441692 20.494757
19 20.537638 20.447065 20.459074 20.454740 20.524827 20.464909 20.415659 20.415659 20.471987 20.537638
20 20.555181 20.498230 20.552502 20.374013 20.567565 20.473375 20.569161 20.374013 20.512861 20.569161
21 20.495135 20.434808 20.443002 20.485163 20.413025 20.440278 20.475965 20.413025 20.455339 20.495135
22 20.491335 20.423028 20.403989 20.468181 20.428741 20.379232 20.363477 20.363477 20.422569 20.491335
23 20.456199 20.408233 20.385251 20.530278 20.406491 20.369400 20.407122 20.369400 20.423282 20.530278
24 20.417546 20.400106 20.356245 20.441189 20.376396 20.387362 20.349973 20.349973 20.389831 20.441189
25 20.416911 20.685176 20.394531 20.459078 20.439463 20.436213 20.366942 20.366942 20.456902 20.685176
26 20.392544 20.375721 20.410733 20.465683 20.323709 20.491180 20.347731 20.323709 20.401043 20.491180
27 20.534247 20.506255 20.548032 20.448503 20.423480 20.469195 20.810848 20.423480 20.534366 20.810848
28 20.472839 20.691456 20.686074 20.538374 20.527844 20.472563 20.532831 20.472563 20.560283 20.691456
29 20.659534 20.725343 20.414199 20.397086 20.443234 20.712049 20.655929 20.397086 20.572482 20.725343
30 20.374281 20.559363 20.654338 20.392518 20.768602 20.660813 20.355411 20.355411 20.537904 20.768602
31 20.672126 20.757646 20.516264 20.360774 20.760402 20.763452 20.599540 20.360774 20.632886 20.763452
32 20.575412 20.415106 20.643571 20.726192 20.417954 20.452250 20.641604 20.415106 20.553156 20.726192
33 20.649293 20.618264 20.868805 20.598340 20.582689 20.750920 20.630858 20.582689 20.671310 20.868805
34 20.403426 20.548533 20.944824 20.688754 20.631138 20.445369 20.617785 20.403426 20.611404 20.944824
35 20.720810 20.745608 20.774169 20.682439 20.808599 20.549886 20.790379 20.549886 20.724556 20.808599
36 20.847300 20.774366 20.689335 20.556696 20.790859 20.615562 20.778868 20.556696 20.721855 20.847300
37 20.652328 20.839457 20.543499 20.751048 20.917295 20.651838 20.886091 20.543499 20.748794 20.917295
38 20.741242 20.834325 21.033355 20.650778 21.269929 20.818232 20.940801 20.650778 20.898380 21.269929
39 20.932731 20.829428 20.737017 21.006270 20.832675 21.193428 20.921663 20.737017 20.921887 21.193428
40 20.747140 21.308932 20.882093 21.004103 21.092872 20.956242 20.726165 20.726165 20.959650 21.308932
41 20.940839 20.833390 20.830948 20.794780 21.173562 21.101049 21.127539 20.794780 20.971730 21.173562
42 21.248127 21.329930 20.945529 21.235636 21.286619 20.981867 21.219154 20.945529 21.178123 21.329930
43 20.907993 21.189191 21.545449 21.353490 21.162850 21.151453 21.165991 20.907993 21.210917 21.545449
44 21.209522 21.381436 21.383859 21.237295 21.094304 21.652488 21.416500 21.094304 21.339343 21.652488
45 21.367839 21.627419 20.805554 21.247165 21.205881 21.522902 21.418531 20.805554 21.313613 21.627419
46 21.239077 21.410006 21.621293 21.256425 21.506908 21.577817 21.414063 21.239077 21.432227 21.621293
47 21.308061 21.808802 21.372113 21.498880 21.078105 21.583303 21.310621 21.078105 21.422841 21.808802
48 21.369578 21.626161 21.664746 21.375461 21.107573 21.182672 21.379701 21.107573 21.386556 21.664746
49 21.534603 21.345116 21.958230 21.836681 21.305395 21.647709 21.699998 21.305395 21.618247 21.958230
50 21.869853 21.437056 21.801757 21.658880 21.618605 21.719444 21.300856 21.300856 21.629493 21.869853
