seg 1 2 3 4 5 6 7 8 9 min avg max
17 nan nan nan nan nan nan nan nan nan NaN NaN NaN
18 21.578149 150.000000 nan 21.875244 22.019042 21.733569 21.435208 22.754052 22.231000 21.435208 NaN 22.754052
19 22.177123 nan 21.801273 21.336431 23.533844 21.661027 21.361102 22.223065 nan 21.336431 NaN NaN
20 21.066064 21.036480 21.181689 21.350418 21.068257 21.084955 21.040111 21.138011 21.085872 21.036480 21.116873 21.350418
21 20.965270 20.917526 21.217914 20.929026 20.988757 20.875091 20.792651 21.102676 20.912323 20.792651 20.966804 21.217914
22 21.032720 21.231115 21.044145 21.095080 20.998405 20.979756 20.966179 20.949720 21.191059 20.949720 21.054242 21.231115
23 20.920939 20.991132 20.862570 20.924580 20.946290 20.855628 20.902311 20.908677 20.972779 20.855628 20.920545 20.991132
24 20.886947 20.797662 20.832489 20.834350 20.782019 20.876887 20.934779 20.965865 20.780857 20.780857 20.854651 20.965865
25 20.827559 10000.000000 21.017281 20.893251 20.753807 20.900374 20.808364 20.807275 20.900188 20.753807 1129.656455 10000.000000
26 20.813085 20.855765 20.856481 20.831523 20.798570 20.767451 20.745525 20.772457 20.710512 20.710512 20.794597 20.856481
27 20.837571 20.741238 20.812274 20.722601 20.867417 20.911958 20.734873 20.842819 20.814423 20.722601 20.809464 20.911958
28 20.806188 20.773151 20.808805 20.773819 20.722829 20.803291 20.716454 20.715124 20.793105 20.715124 20.768085 20.808805
29 20.685319 20.759439 20.790918 20.704918 20.761787 20.692055 20.823093 20.819827 20.748893 20.685319 20.754028 20.823093
30 20.752812 20.797646 20.780767 20.769221 20.828158 20.869620 20.703146 20.758754 20.790449 20.703146 20.783397 20.869620
31 20.832986 20.681902 20.751695 20.755734 20.712386 20.759775 20.770211 20.734040 20.692106 20.681902 20.743426 20.832986
32 20.866586 20.798029 20.709561 20.827697 20.901032 20.936858 20.747656 20.911715 20.746521 20.709561 20.827295 20.936858
33 20.784872 20.778307 20.684842 20.742956 20.682412 20.806951 20.726744 20.749169 20.705143 20.682412 20.740155 20.806951
34 20.747459 20.697230 20.689652 20.857526 20.789640 20.846590 20.838319 20.756325 20.735347 20.689652 20.773121 20.857526
35 20.776536 20.825219 20.853547 20.912899 20.809323 20.774071 20.982580 20.930501 20.768775 20.768775 20.848161 20.982580
36 20.834824 20.745662 20.752864 21.071862 20.965056 20.770128 20.771253 20.833953 20.808558 20.745662 20.839351 21.071862
37 20.774222 20.873630 20.645112 20.739337 20.925139 20.888432 20.871510 20.861817 21.098486 20.645112 20.853076 21.098486
38 20.818989 20.879182 20.945406 20.743116 20.960828 20.973245 21.144301 20.857254 20.768919 20.743116 20.899027 21.144301
39 21.213218 21.012321 20.810074 21.088543 20.929369 20.985236 21.256846 20.820778 20.908787 20.810074 21.002797 21.256846
40 20.846121 20.862913 21.060532 21.044729 20.997592 21.021414 21.288914 21.062024 20.865051 20.846121 21.005477 21.288914
41 21.121617 21.057711 21.043874 21.386019 21.312442 21.248935 21.433191 21.103801 20.859175 20.859175 21.174085 21.433191
42 21.276943 21.314348 21.219958 20.918776 21.237799 20.939236 21.546380 21.168451 21.053713 20.918776 21.186178 21.546380
43 21.186721 21.434072 21.182342 21.060456 20.982216 21.031945 21.304905 21.456051 21.232128 20.982216 21.207871 21.456051
44 21.552106 21.113793 21.708045 21.092584 21.575491 21.131822 21.529701 21.601557 21.283907 21.092584 21.398778 21.708045
45 21.246726 21.483952 21.586090 21.284681 21.443023 21.749829 21.301971 21.306666 21.223986 21.223986 21.402992 21.749829
46 21.771174 21.682683 21.549881 21.037265 21.865499 21.408903 21.898523 21.251649 21.303683 21.037265 21.529918 21.898523
47 21.566385 21.491771 21.984042 21.606418 21.357794 21.365264 21.213699 21.339937 21.263734 21.213699 21.465449 21.984042
48 21.834175 21.834485 21.906006 21.607244 21.373748 21.433775 21.597531 21.526091 21.449705 21.373748 21.618084 21.906006
49 21.682084 21.411151 22.061604 21.745196 21.664752 22.137076 21.898696 21.741623 22.009703 21.411151 21.816876 22.137076
50 21.875210 21.170970 21.927344 21.638071 21.385381 21.759910 10000.000000 21.196362 21.627444 21.170970 1130.286744 10000.000000
