seg 1 2 3 4 5 6 7 min avg max
12 21.303381 21.206443 21.531810 21.553135 21.282488 21.106651 21.313049 21.106651 21.328137 21.553135
13 21.008213 21.059790 21.205091 20.980829 21.295652 21.159669 21.105356 20.980829 21.116371 21.295652
14 21.331167 21.258994 21.262753 21.262487 21.233919 21.276335 21.121633 21.121633 21.249613 21.331167
15 20.981322 21.263701 21.104282 21.351293 21.254565 21.114112 21.206633 20.981322 21.182273 21.351293
16 21.466949 21.172926 21.030271 21.287781 21.117504 21.113953 21.247273 21.030271 21.205237 21.466949
17 20.754428 20.891295 20.690324 20.759161 20.766371 20.657604 20.706053 20.657604 20.746462 20.891295
18 20.837477 20.745910 20.914810 20.701025 20.790054 20.745567 20.797157 20.701025 20.790286 20.914810
19 20.703111 20.644880 20.679791 20.743754 20.794594 20.780604 20.748946 20.644880 20.727954 20.794594
20 20.585596 20.617659 20.713772 20.640904 20.765000 20.699548 20.708554 20.585596 20.675862 20.765000
21 20.715189 20.583509 20.687123 20.592204 20.766825 20.832922 20.630037 20.583509 20.686830 20.832922
22 20.811923 20.525015 20.549467 20.507722 20.670735 20.593028 20.596795 20.507722 20.607812 20.811923
23 20.659701 20.669489 20.868273 20.599406 20.706217 20.737152 20.724488 20.599406 20.709247 20.868273
24 20.619654 20.700601 20.745914 21.080799 20.670087 20.641815 20.778409 20.619654 20.748183 21.080799
25 20.899160 20.687228 20.737183 20.704953 20.854261 20.527005 20.480815 20.480815 20.698658 20.899160
26 20.606428 20.655673 20.719180 20.918926 20.687247 21.016632 20.948854 20.606428 20.793277 21.016632
27 20.849936 20.994064 21.285314 20.767827 21.186458 20.941202 20.915475 20.767827 20.991468 21.285314
28 20.845757 20.803124 21.115421 21.080195 21.026425 20.808069 21.131302 20.803124 20.972899 21.131302
29 20.828611 20.638798 21.017651 20.680170 20.873411 20.876704 21.120970 20.638798 20.862331 21.120970
30 20.856829 21.136511 21.446983 21.291544 20.868595 21.139030 20.838238 20.838238 21.082533 21.446983
31 20.898490 20.788802 21.118671 21.030246 20.960818 20.764316 20.943229 20.764316 20.929225 21.118671
32 21.058853 21.193467 21.262454 21.056902 20.903289 21.122871 20.867229 20.867229 21.066438 21.262454
33 20.953622 21.112739 21.044552 20.939177 21.408468 21.635878 21.069704 20.939177 21.166306 21.635878
34 21.323841 21.510533 21.478461 21.370946 21.448498 21.403215 21.531200 21.323841 21.438099 21.531200
35 21.486041 21.094313 21.239174 21.142459 21.021227 21.233153 21.266545 21.021227 21.211845 21.486041
36 21.029345 21.305943 21.341853 21.286091 21.215003 21.302716 21.352172 21.029345 21.261875 21.352172
37 21.528259 21.294134 21.291820 21.376800 21.210897 21.604132 21.493759 21.210897 21.399972 21.604132
38 21.367732 21.425718 21.372479 21.287020 21.667116 21.291788 21.427934 21.287020 21.405684 21.667116
39 21.491581 21.529215 21.375026 21.396371 21.725874 21.295856 21.699470 21.295856 21.501913 21.725874
40 21.693203 21.560478 21.639101 21.398626 21.529157 21.630987 21.411368 21.398626 21.551846 21.693203
41 21.573751 21.614286 21.589095 21.664511 21.733745 21.758446 21.506074 21.506074 21.634273 21.758446
42 21.464237 21.567522 21.556319 21.430933 21.448268 21.680473 21.673619 21.430933 21.545910 21.680473
43 21.732426 21.886683 21.557577 21.558029 21.764098 21.645325 21.653501 21.557577 21.685377 21.886683
44 21.821438 21.814951 21.780496 21.798543 21.736211 21.949693 21.692460 21.692460 21.799113 21.949693
45 21.642217 21.733494 21.809431 21.938340 21.799406 21.918348 21.764130 21.642217 21.800767 21.938340
46 21.848518 21.832135 21.929675 21.745224 22.141316 21.868138 21.846863 21.745224 21.887410 22.141316
47 21.887670 21.917614 21.960260 21.993396 21.979121 21.894251 22.008690 21.887670 21.948715 22.008690
48 21.986594 21.742548 21.960844 21.837313 21.849893 22.033720 21.998118 21.742548 21.915576 22.033720
49 22.000327 22.009886 21.990313 21.803487 22.035892 21.842457 21.991102 21.803487 21.953352 22.035892
50 22.225802 22.141582 22.053079 22.059143 22.068846 22.031869 22.243587 22.031869 22.117701 22.243587
