seg 1 2 3 4 5 6 7 8 9 min avg max
17 22.216976 21.440491 21.504053 21.799914 21.481474 21.489743 21.515580 21.781853 21.726873 21.440491 21.661884 22.216976
18 21.498211 21.508234 21.427631 21.215182 21.307224 21.595514 21.415230 21.171637 21.790789 21.171637 21.436628 21.790789
19 21.577510 21.768531 21.747352 21.894693 21.612221 21.486268 21.655303 21.551802 21.612308 21.486268 21.656221 21.894693
20 22.100382 21.618029 22.067436 21.558703 21.627625 21.650611 21.511301 21.450532 21.502981 21.450532 21.676400 22.100382
21 21.316014 21.215001 21.469564 21.056816 21.191471 21.612369 21.248316 21.259327 21.905724 21.056816 21.363845 21.905724
22 21.287906 21.446519 21.466296 21.579246 21.294120 21.294347 21.351286 21.227405 21.567248 21.227405 21.390486 21.579246
23 21.154110 21.095892 21.448696 21.157404 21.210786 20.953568 21.134475 21.274577 21.005516 20.953568 21.159447 21.448696
24 21.396998 21.179322 21.273159 21.247019 21.319963 21.175922 21.133274 21.049675 21.335894 21.049675 21.234581 21.396998
25 21.136784 21.137914 20.967406 21.142851 21.203113 21.211738 21.038906 21.227508 21.061120 20.967406 21.125260 21.227508
26 21.261325 21.647999 21.170219 21.316213 21.366939 21.327332 21.645278 21.166710 21.205342 21.166710 21.345262 21.647999
27 21.336910 21.329455 21.521606 21.460232 21.105067 21.433275 21.110632 21.524080 21.557828 21.105067 21.375454 21.557828
28 21.197802 21.259847 21.118060 21.043723 21.260655 21.271207 20.927261 21.255743 21.233785 20.927261 21.174231 21.271207
29 21.346608 21.135723 21.199782 21.112062 21.104323 21.083611 21.262441 21.391569 21.284713 21.083611 21.213426 21.391569
30 21.366461 21.149014 21.300704 21.079857 21.071935 21.412246 21.235588 21.307107 21.343609 21.071935 21.251836 21.412246
31 21.206378 21.159141 21.019135 21.396487 21.150856 21.433178 21.293749 21.281432 20.999606 20.999606 21.215551 21.433178
32 21.347481 21.305025 21.519710 21.474203 21.463066 21.475823 21.386664 21.257374 21.608304 21.257374 21.426406 21.608304
33 21.295794 21.807132 21.179673 21.266591 21.418949 21.797535 21.425817 21.556193 21.572065 21.179673 21.479972 21.807132
34 21.129826 21.254635 21.300574 21.199034 21.412651 21.638872 21.510680 21.289378 21.693328 21.129826 21.380998 21.693328
35 21.596021 21.485458 21.445765 21.588868 21.453682 21.541690 21.319116 21.315333 21.596924 21.315333 21.482540 21.596924
36 21.806161 21.326871 21.583904 21.432249 21.340944 21.474959 21.490112 21.528001 21.551946 21.326871 21.503905 21.806161
37 21.294915 21.380419 21.805024 21.398667 22.062721 21.754889 21.478206 21.393264 21.442155 21.294915 21.556696 22.062721
38 21.877608 21.657077 21.918589 21.791509 21.776716 21.627269 21.442332 21.517999 21.501106 21.442332 21.678912 21.918589
39 21.519476 21.925543 21.609543 21.628830 21.608352 21.904920 21.766575 21.416043 21.910105 21.416043 21.698821 21.925543
40 21.610911 21.433025 21.644282 21.560651 21.798541 21.411181 21.647306 21.797028 21.574439 21.411181 21.608596 21.798541
41 21.813713 21.972637 21.757598 21.649974 21.650889 21.744212 21.549698 21.876436 21.595123 21.549698 21.734476 21.972637
42 21.732427 21.680181 21.893908 21.732128 22.235120 21.758886 22.237443 21.754753 21.696975 21.680181 21.857980 22.237443
43 21.655312 21.897262 21.889086 21.934048 21.964505 21.773292 21.776306 22.334267 22.245881 21.655312 21.941107 22.334267
44 21.808627 21.805490 21.999320 22.076660 21.942176 21.837497 22.164426 21.900999 21.927988 21.805490 21.940354 22.164426
45 21.739761 22.090661 21.811819 22.007547 21.945445 21.931279 21.848181 21.902578 21.742446 21.739761 21.891080 22.090661
46 21.810339 22.135976 22.015931 21.946303 21.734582 21.800321 21.875329 21.798661 21.831459 21.734582 21.883211 22.135976
47 22.105522 21.911665 22.163514 22.050756 21.914354 22.177053 22.152200 21.720808 22.107384 21.720808 22.033695 22.177053
48 22.159357 22.437684 22.070592 22.160270 22.192595 22.212773 22.074156 22.074048 22.165345 22.070592 22.171869 22.437684
49 22.174673 22.116713 22.382859 22.131792 22.514912 22.285970 22.317100 22.096685 22.010683 22.010683 22.225710 22.514912
50 22.115398 22.267446 21.958701 22.638697 22.271234 22.239497 22.062857 22.186619 22.049930 21.958701 22.198931 22.638697
