d_m,x_m,y_m,psi_rad,k_radpm,v_mps,a_mps2
0.0000000,2.7899373,2.7165862,-2.3169284,0.3257802,6.0691561,-0.7507063
0.1998984,2.9413270,2.5853754,-2.2535083,0.3073922,6.0443796,0.0249837
0.3997968,3.1001499,2.4639927,-2.1937960,0.2901306,6.0452058,0.6525266
0.5996953,3.2655490,2.3521550,-2.1373949,0.2753054,6.0667447,1.1171657
0.7995937,3.4376712,2.2491129,-2.0835051,0.2621885,6.1034442,1.4737327
0.9994921,3.6141623,2.1556799,-2.0321922,0.2518912,6.1515221,1.6969094
1.1993905,3.7951919,2.0712203,-1.9827319,0.2439042,6.2064196,1.8198514
1.3992889,3.9812530,1.9952517,-1.9343688,0.2373952,6.2647597,1.8830259
1.5991874,4.1695441,1.9286419,-1.8874228,0.2323198,6.3245587,1.8919811
1.7990858,4.3593259,1.8712246,-1.8419336,0.2266942,6.3840779,1.9301152
1.9989842,4.5544473,1.8216846,-1.7972940,0.2160449,6.4442303,-3.4125270
2.1988826,4.7507092,1.7808065,-1.7556078,0.1975232,6.3374906,-4.7733708
2.3987811,4.9476825,1.7478005,-1.7189920,0.1679804,6.1850957,-6.2528115
2.5986795,5.1451554,1.7214231,-1.6893191,0.1333940,5.9795948,-7.9315970
2.7985779,5.3430377,1.7003197,-1.6650079,0.1265304,5.7082858,-7.2467163
2.9984763,5.5410317,1.6843097,-1.6361181,0.1804921,5.4486064,-4.8656237
3.1983747,5.7396000,1.6753725,-1.5921752,0.2775487,5.2670724,-3.1001394
3.3982732,5.9394793,1.6772756,-1.5278230,0.3561910,5.1480701,-1.9642797
3.5981716,6.1394439,1.6934542,-1.4504351,0.4106125,5.0712240,-1.0841569
3.7980700,6.3374343,1.7260223,-1.3636099,0.4521119,5.0283069,-0.5111315
3.9979684,6.5309483,1.7760775,-1.2708680,0.4784780,5.0079458,-0.5111315
4.1978668,6.7187298,1.8441074,-1.1761923,0.4655284,4.9875016,-0.0870665
4.3977653,6.8998021,1.9295288,-1.0846044,0.4432671,4.9840108,0.4828256
4.5976637,7.0725451,2.0306925,-0.9982075,0.4169679,5.0033385,1.0516858
4.7975621,7.2357551,2.1455191,-0.9181333,0.3881721,5.0451815,1.6007619
4.9974605,7.3904467,2.2731430,-0.8455423,0.3370595,5.1082126,2.6730205
5.1973590,7.5362625,2.4109776,-0.7836078,0.2761812,5.2117656,3.9446452
5.3972574,7.6739485,2.5563220,-0.7358327,0.1933310,5.3609288,4.7142753
5.5971558,7.8058137,2.7065821,-0.7087969,0.0719215,5.5339236,4.6758632
5.7970542,7.9351560,2.8580588,-0.7102390,-0.0939883,5.7003250,4.6377642
5.9969526,8.0661408,3.0058342,-0.7433590,-0.1599148,5.8607055,4.5999755
6.1968511,8.2015204,3.1503347,-0.7562733,0.0204974,6.0155569,4.5624947
6.3967495,8.3384568,3.2972657,-0.7409989,0.1109903,6.1653058,4.5253194
6.5966479,8.4724334,3.4472057,-0.7169511,0.1264512,6.3103252,4.4884469
6.7965463,8.6003069,3.5976452,-0.6921567,0.1239307,6.4509434,4.4518749
6.9964447,8.7265879,3.7538625,-0.6677842,0.1147874,6.5874514,4.4156009
7.1963432,8.8496524,3.9135159,-0.6460232,0.1022843,6.7201086,4.3796224
