d_m,x_m,y_m,psi_rad,k_radpm,v_mps,a_mps2
0.0000000,3.0776760,2.9787125,-2.4022390,0.2265867,6.8282543,-2.3843514
0.1997908,3.2156164,2.8341950,-2.3565790,0.2305791,6.7581295,-2.3988927
0.3995815,3.3600665,2.6961850,-2.3100746,0.2348790,6.6868349,-2.4085335
0.5993723,3.5108131,2.5651210,-2.2627008,0.2394931,6.6144807,-2.4123720
0.7991631,3.6676881,2.4413897,-2.2143931,0.2441492,6.5412090,-2.4189737
0.9989539,3.8303949,2.3254689,-2.1650903,0.2494774,6.4669033,-2.3928215
1.1987446,3.9986420,2.2178219,-2.1146665,0.2554776,6.3925512,-2.3742669
1.3985354,4.1722176,2.1188652,-2.0630234,0.2615302,6.3179109,-2.2969871
1.5983262,4.3506993,2.0291270,-2.0100627,0.2691873,6.2448510,-2.1539292
1.7981169,4.5337106,1.9491327,-1.9553667,0.2785534,6.1755562,-2.0461958
1.9979077,4.7209461,1.8794120,-1.8988659,0.2870964,6.1089992,-1.8686173
2.1976985,4.9118289,1.8205575,-1.8405416,0.2973970,6.0475786,-1.6135789
2.3974893,5.1058627,1.7731469,-1.7799458,0.3094667,5.9940346,-1.1718598
2.5972800,5.3024922,1.7378322,-1.7165161,0.3257408,5.9548465,-0.8579861
2.7970708,5.5009673,1.7153772,-1.6500043,0.3376598,5.9259903,-0.7099257
2.9968616,5.7005000,1.7063481,-1.5817700,0.3444941,5.9020071,-0.7099257
3.1966524,5.9001443,1.7109560,-1.5140245,0.3338700,5.8779261,-0.2393584
3.3964431,6.0990914,1.7288842,-1.4478450,0.3327266,5.8697846,-0.1660807
3.5962339,6.2964666,1.7600172,-1.3805888,0.3405056,5.8641290,-0.4101532
3.7960247,6.4911997,1.8044686,-1.3119394,0.3470623,5.8501384,-0.5754056
3.9958154,6.6824001,1.8622834,-1.2425861,0.3417573,5.8304544,-0.3105829
4.1956062,6.8692323,1.9330113,-1.1756746,0.3277470,5.8198020,0.2088909
4.3953970,7.0510521,2.0157874,-1.1120968,0.3089854,5.8269687,0.8168573
4.5951878,7.2274496,2.1096435,-1.0521908,0.2897942,5.8549095,1.3672248
4.7949785,7.3980394,2.2135040,-0.9962760,0.2701090,5.9013797,1.8833340
4.9947693,7.5628755,2.3264697,-0.9444032,0.2490994,5.9647991,2.4122228
5.1945601,7.7218659,2.4474847,-0.8966804,0.2285300,6.0450565,2.9041380
5.3943508,7.8750833,2.5755599,-0.8530912,0.2074775,6.1402889,3.4090397
5.5941416,8.0229891,2.7099582,-0.8141765,0.1819774,6.2502270,4.0948231
5.7939324,8.1658346,2.8495955,-0.7799451,0.1628736,6.3797769,4.4704847
5.9937232,8.3040100,2.9937482,-0.7490391,0.1484060,6.5182725,4.4340786
6.1935139,8.4378713,3.1420278,-0.7197670,0.1445660,6.6527928,4.3979691
6.3933047,8.5673854,3.2940885,-0.6914294,0.1386466,6.7835831,4.3621535
6.5930955,8.6926887,3.4497406,-0.6643875,0.1315603,6.9108636,4.3266297
6.7928862,8.8138383,3.6085928,-0.6390228,0.1223660,7.0348331,4.2913952
6.9926770,8.9310467,3.7703273,-0.6155054,0.1130860,7.1556718,4.2564476
7.1924678,9.0446180,3.9347361,-0.5938317,0.1038894,7.2735436,4.2217846
7.3922586,9.1547361,4.1014439,-0.5739729,0.0949188,7.3885982,4.1874039
7.5920493,9.2616426,4.2701647,-0.5558690,0.0864624,7.5009728,4.1533031
7.7918401,9.3656658,4.4407848,-0.5394112,0.0783595,7.6107934,4.1194801
7.9916309,9.4669901,4.6129906,-0.5245237,0.0706829,7.7181763,4.0859325
8.1914217,9.5658452,4.7865697,-0.5110944,0.0639657,7.8232287,4.0526581
8.3912124,9.6625108,4.9614656,-0.4989480,0.0577072,7.9260504,2.9473948
8.5910032,9.7571381,5.1374393,-0.4880031,0.0518700,8.0000000,0.0000000
8.7907940,9.8499290,5.3143747,-0.4781771,0.0466007,8.0000000,0.0000000
8.9905847,9.9410799,5.4921903,-0.4693483,0.0423799,8.0000000,0.0000000
9.1903755,10.0307049,5.6707530,-0.4610935,0.0402661,8.0000000,0.0000000
9.3901663,10.1189042,5.8500549,-0.4532938,0.0377003,8.0000000,0.0000000
9.5899571,10.2057318,6.0299750,-0.4460866,0.0330934,8.0000000,0.0000000
9.7897478,10.2913850,6.2104648,-0.4404009,0.0238147,8.0000000,0.0000000
9.9895386,10.3761902,6.3913682,-0.4367035,0.0128570,8.0000000,0.0000000
10.1893294,10.4605226,6.5724712,-0.4352875,0.0009941,8.0000000,0.0000000
10.3891201,10.5448273,6.7536002,-0.4363833,-0.0119640,8.0000000,0.0000000
10.5889109,10.6295648,6.9345091,-0.4402133,-0.0267402,8.0000000,0.0000000
10.7887017,10.7152745,7.1149820,-0.4469763,-0.0387156,8.0000000,0.0000000
10.9884925,10.8023581,7.2948013,-0.4551681,-0.0432861,8.0000000,0.0000000
11.1882832,10.8909764,7.4738529,-0.4640506,-0.0450950,8.0000000,0.0000000
11.3880740,10.9812125,7.6521153,-0.4731728,-0.0461644,8.0000000,0.0000000
11.5878648,11.0730854,7.8295324,-0.4824854,-0.0470591,8.0000000,0.0000000
11.7876555,11.1666171,8.0060698,-0.4919620,-0.0477745,8.0000000,0.0000000
11.9874463,11.2618357,8.1817176,-0.5015737,-0.0484083,8.0000000,0.0000000
12.1872371,11.3587461,8.3564325,-0.5112986,-0.0489430,8.0000000,0.0000000
12.3870279,11.4573579,8.5301874,-0.5211299,-0.0494731,8.0000000,0.0000000
12.5868186,11.5576853,8.7029643,-0.5310631,-0.0498534,8.0000000,0.0000000
12.7866094,11.6597263,8.8747318,-0.5410256,-0.0498762,8.0000000,0.0000000
12.9864002,11.7634698,9.0454719,-0.5509460,-0.0493153,8.0000000,0.0000000
13.1861910,11.8688929,9.2151857,-0.5607276,-0.0485875,8.0000000,0.0000000
13.3859817,11.9759578,9.3838674,-0.5703578,-0.0478157,8.0000000,0.0000000
13.5857725,12.0846284,9.5515167,-0.5798388,-0.0471070,8.0000000,0.0000000
13.7855633,12.1948737,9.7181384,-0.5891815,-0.0464147,8.0000000,0.0000000
13.9853540,12.3066585,9.8837295,-0.5983848,-0.0457152,8.0000000,0.0000000
14.1851448,12.4199506,10.0482918,-0.6074501,-0.0450375,8.0000000,0.0000000
14.3849356,12.5347198,10.2118295,-0.6163815,-0.0443716,8.0000000,0.0000000
14.5847264,12.6509338,10.3743425,-0.6251809,-0.0437152,8.0000000,0.0000000
14.7845171,12.7685628,10.5358344,-0.6338502,-0.0430704,8.0000000,0.0000000
14.9843079,12.8875772,10.6963083,-0.6423915,-0.0424341,8.0000000,0.0000000
15.1840987,13.0079476,10.8557671,-0.6508067,-0.0418072,8.0000000,0.0000000
15.3838894,13.1296462,11.0142156,-0.6590976,-0.0411892,8.0000000,0.0000000
15.5836802,13.2526440,11.1716564,-0.6672656,-0.0405779,8.0000000,0.0000000
15.7834710,13.3769142,11.3280949,-0.6753123,-0.0399740,8.0000000,0.0000000
15.9832618,13.5024308,11.4835372,-0.6832390,-0.0393769,8.0000000,0.0000000
16.1830525,13.6291650,11.6379856,-0.6910468,-0.0387850,8.0000000,0.0000000
16.3828433,13.7570927,11.7914477,-0.6987371,-0.0381986,8.0000000,0.0000000
16.5826341,13.8861890,11.9439305,-0.7063107,-0.0376171,8.0000000,0.0000000
16.7824248,14.0164257,12.0954366,-0.7137684,-0.0370394,8.0000000,0.0000000
16.9822156,14.1477808,12.2459755,-0.7211112,-0.0364656,8.0000000,0.0000000
17.1820064,14.2802305,12.3955551,-0.7283397,-0.0358951,8.0000000,0.0000000
17.3817972,14.4137472,12.5441783,-0.7354544,-0.0353271,8.0000000,0.0000000
17.5815879,14.5483105,12.6918565,-0.7424558,-0.0347614,8.0000000,0.0000000
17.7813787,14.6838977,12.8385983,-0.7493446,-0.0341976,8.0000000,0.0000000
17.9811695,14.8204817,12.9844074,-0.7561207,-0.0336353,8.0000000,0.0000000
18.1809603,14.9580436,13.1292967,-0.7627846,-0.0330740,8.0000000,0.0000000
18.3807510,15.0965615,13.2732754,-0.7693366,-0.0325133,8.0000000,0.0000000
18.5805418,15.2360088,13.4163483,-0.7757764,-0.0319532,8.0000000,0.0000000
18.7803326,15.3763680,13.5585295,-0.7821044,-0.0313935,8.0000000,0.0000000
18.9801233,15.5176177,13.6998291,-0.7883194,-0.0308159,8.0000000,0.0000000
19.1799141,15.6597317,13.8402535,-0.7944176,-0.0302248,8.0000000,0.0000000
19.3797049,15.8026925,13.9798186,-0.8003948,-0.0296106,8.0000000,0.0000000
19.5794957,15.9464779,14.1185370,-0.8062491,-0.0289910,8.0000000,0.0000000
19.7792864,16.0910614,14.2564174,-0.8119791,-0.0283693,8.0000000,0.0000000
19.9790772,16.2364256,14.3934776,-0.8175847,-0.0277460,8.0000000,0.0000000
20.1788680,16.3825486,14.5297311,-0.8230657,-0.0271201,8.0000000,0.0000000
20.3786587,16.5294050,14.6651883,-0.8284214,-0.0264927,8.0000000,0.0000000
20.5784495,16.6769777,14.7998676,-0.8336515,-0.0258633,8.0000000,0.0000000
20.7782403,16.8252455,14.9337836,-0.8387556,-0.0252306,8.0000000,0.0000000
20.9780311,16.9741841,15.0669485,-0.8437332,-0.0245995,8.0000000,0.0000000
21.1778218,17.1237767,15.1993808,-0.8485856,-0.0239748,8.0000000,0.0000000
21.3776126,17.2740030,15.3310946,-0.8533345,-0.0236342,8.0000000,0.0000000
21.5774034,17.4248481,15.4620963,-0.8580326,-0.0234269,8.0000000,0.0000000
21.7771941,17.5763061,15.5923911,-0.8627043,-0.0233388,8.0000000,0.0000000
21.9769849,17.7283702,15.7219784,-0.8673583,-0.0232503,8.0000000,0.0000000
22.1767757,17.8810340,15.8508575,-0.8719946,-0.0231574,8.0000000,0.0000000
22.3765665,18.0342928,15.9790293,-0.8766107,-0.0230518,8.0000000,0.0000000
22.5763572,18.1881400,16.1064941,-0.8811983,-0.0228486,8.0000000,0.0000000
22.7761480,18.3425674,16.2332552,-0.8857394,-0.0225998,8.0000000,0.0000000
22.9759388,18.4975657,16.3593180,-0.8902257,-0.0223103,8.0000000,0.0000000
23.1757296,18.6531241,16.4846886,-0.8946542,-0.0220212,8.0000000,0.0000000
23.3755203,18.8092328,16.6093737,-0.8990250,-0.0217325,8.0000000,0.0000000
23.5753111,18.9658814,16.7333798,-0.9033382,-0.0214444,8.0000000,0.0000000
23.7751019,19.1230597,16.8567134,-0.9075938,-0.0211568,8.0000000,0.0000000
23.9748926,19.2807582,16.9793818,-0.9117920,-0.0208696,8.0000000,0.0000000
24.1746834,19.4389666,17.1013916,-0.9159329,-0.0205828,8.0000000,0.0000000
24.3744742,19.5976753,17.2227495,-0.9200166,-0.0202965,8.0000000,0.0000000
24.5742650,19.7568752,17.3434632,-0.9240430,-0.0200105,8.0000000,0.0000000
24.7740557,19.9165562,17.4635393,-0.9280124,-0.0197249,8.0000000,0.0000000
24.9738465,20.0767090,17.5829851,-0.9319248,-0.0194396,8.0000000,0.0000000
