d_m,x_m,y_m,psi_rad,k_radpm,v_mps,a_mps2
0.0000000,24.2961016,18.0796448,-1.6519917,-0.1066736,8.0000000,0.0000000
0.1999928,24.4950698,18.0612846,-1.6737996,-0.1116587,8.0000000,0.0000000
0.3999856,24.6938553,18.0384546,-1.6966508,-0.1165421,8.0000000,0.0000000
0.5999785,24.8919938,18.0110042,-1.7204310,-0.1213231,8.0000000,0.0000000
0.7999713,25.0894375,17.9787523,-1.7451288,-0.1254294,8.0000000,0.0000000
0.9999641,25.2859636,17.9415634,-1.7706467,-0.1295528,8.0000000,0.0000000
1.1999569,25.4815006,17.8992891,-1.7968995,-0.1330376,8.0000000,0.0000000
1.3999497,25.6759261,17.8518049,-1.8238728,-0.1361690,8.0000000,0.0000000
1.5999425,25.8685796,17.7991546,-1.8513807,-0.1394087,8.0000000,0.0000000
1.7999354,26.0603346,17.7409672,-1.8795144,-0.1415479,8.0000000,0.0000000
1.9999282,26.2500458,17.6774734,-1.9080898,-0.1437353,8.0000000,0.0000000
2.1999210,26.4374718,17.6086961,-1.9369716,-0.1457762,8.0000000,0.0000000
2.3999138,26.6236738,17.5341443,-1.9663214,-0.1468440,8.0000000,0.0000000
2.5999066,26.8070027,17.4544081,-1.9958232,-0.1479172,8.0000000,0.0000000
2.7998994,26.9875822,17.3694388,-2.0253914,-0.1485640,8.0000000,0.0000000
2.9998923,27.1665684,17.2786328,-2.0551795,-0.1481601,8.0000000,0.0000000
3.1998851,27.3421212,17.1829129,-2.0847657,-0.1473927,8.0000000,0.0000000
3.3998779,27.5140764,17.0824861,-2.1139636,-0.1458556,8.0000000,0.0000000
3.5998707,27.6843940,16.9762461,-2.1429727,-0.1430609,8.0000000,0.0000000
3.7998635,27.8511763,16.8654449,-2.1713010,-0.1397682,8.0000000,0.0000000
3.9998563,28.0143309,16.7503607,-2.1988049,-0.1361256,8.0000000,0.0000000
4.1998492,28.1740811,16.6310545,-2.2255957,-0.1326420,8.0000000,0.0000000
4.3998420,28.3311951,16.5070622,-2.2522346,-0.1329941,8.0000000,0.0000000
4.5998348,28.4847949,16.3790576,-2.2789178,-0.1338811,8.0000000,0.0000000
4.7998276,28.6346951,16.2472326,-2.3049412,-0.1228732,8.0000000,0.0000000
4.9998204,28.7812289,16.1118740,-2.3276748,-0.1077275,8.0000000,0.0000000
5.1998132,28.9251849,15.9730371,-2.3482054,-0.1028726,8.0000000,-2.5367820
5.3998061,29.0661669,15.8311158,-2.3717490,-0.1306246,7.9363294,-4.0158024
5.5997989,29.2026797,15.6863761,-2.3997852,-0.1504606,7.8344789,-3.2547214
5.7997917,29.3354598,15.5368691,-2.4314896,-0.1659477,7.7509495,-2.6850236
5.9997845,29.4639154,15.3821687,-2.4661627,-0.1782527,7.6813572,-2.3121970
6.1997773,29.5857188,15.2243698,-2.5025916,-0.1871860,7.6209187,-2.0457304
6.3997701,29.7017935,15.0617919,-2.5407487,-0.1942234,7.5670430,-1.8053877
6.5997630,29.8121393,14.8937717,-2.5804618,-0.2006947,7.5191762,-1.6592189
6.7997558,29.9147933,14.7228994,-2.6209194,-0.2054525,7.4749145,-1.5246429
6.9997486,30.0107208,14.5472783,-2.6625421,-0.2099299,7.4340104,-1.3792537
7.1997414,30.0993868,14.3673483,-2.7050858,-0.2144985,7.3968121,-1.3104860
7.3997342,30.1798192,14.1847921,-2.7481945,-0.2176452,7.3612943,-1.2059771
7.5997270,30.2525640,13.9980429,-2.7922261,-0.2213629,7.3284569,-1.1512695
7.7997199,30.3167889,13.8087913,-2.8367174,-0.2241286,7.2969712,-1.1115477
7.9997127,30.3725265,13.6166515,-2.8818679,-0.2265965,7.2664425,-1.0674097
8.1997055,30.4195199,13.4220703,-2.9274568,-0.2291203,7.2370047,-0.5775383
8.3996983,30.4575051,13.2258133,-2.9733823,-0.2301353,7.2210270,-0.8449568
8.5996911,30.4864473,13.0277864,-3.0196134,-0.2316367,7.1975871,-1.0558137
8.7996839,30.5061788,12.8287952,-3.0658984,-0.2314914,7.1681901,-0.9419183
8.9996768,30.5166799,12.6290097,-3.1122546,-0.2312267,7.1418622,-0.8335249
9.1996696,30.5179317,12.4290407,3.1248060,-0.2302780,7.1184828,-0.7015632
9.3996624,30.5099707,12.2290718,3.0788816,-0.2281161,7.0987451,-0.5222820
9.5996552,30.4929258,12.0300292,3.0335117,-0.2262719,7.0840156,-0.3778238
9.7996480,30.4668386,11.8314160,2.9886118,-0.2221979,7.0733410,-0.1367183
9.9996408,30.4320121,11.6345457,2.9445108,-0.2184078,7.0694744,0.0659704
10.1996337,30.3886012,11.4392755,2.9013293,-0.2135178,7.0713404,0.3041862
10.3996265,30.3368309,11.2458233,2.8590848,-0.2077462,7.0799382,0.5650317
10.5996193,30.2773377,11.0555330,2.8182585,-0.2019915,7.0958812,0.8032319
10.7996121,30.2097421,10.8664613,2.7784830,-0.1942774,7.1184838,1.1226866
10.9996049,30.1351991,10.6810645,2.7403312,-0.1879263,7.1499559,1.3509712
11.1995977,30.0537630,10.4986320,2.7033467,-0.1822515,7.1876449,1.5315828
11.3995906,29.9654136,10.3186554,2.6673362,-0.1770661,7.2301348,1.6785104
11.5995834,29.8712204,10.1428013,2.6325292,-0.1720180,7.2764160,1.8132282
11.7995762,29.7707448,9.9697823,2.5985667,-0.1673664,7.3260832,1.9233493
11.9995690,29.6643798,9.7999921,2.5654728,-0.1631379,7.3784014,2.0091122
12.1995618,29.5529797,9.6344216,2.5333454,-0.1590284,7.4326592,2.0886628
12.3995546,29.4362181,9.4722520,2.5019214,-0.1553180,7.4886486,2.1468577
12.5995475,29.3141089,9.3133234,2.4711009,-0.1523452,7.5457651,2.1652469
12.7995403,29.1875850,9.1586449,2.4409562,-0.1497672,7.6029361,2.1646782
12.9995331,29.0567442,9.0081055,2.4112936,-0.1476807,7.6596657,2.1397743
13.1995259,28.9209743,8.8609208,2.3817528,-0.1471555,7.7153326,2.0271940
13.3995187,28.7810191,8.7178999,2.3522614,-0.1480554,7.7677027,1.8370524
13.5995115,28.6370943,8.5792781,2.3225208,-0.1504115,7.8148577,1.5693940
13.7995044,28.4891374,8.4451054,2.2921084,-0.1544946,7.8549179,1.2102587
13.9994972,28.3369352,8.3154355,2.2605201,-0.1612079,7.8856719,0.7081425
14.1994900,28.1806098,8.1907186,2.2276733,-0.1670962,7.9036111,0.2888845
14.3994828,28.0203235,8.0713475,2.1943223,-0.1631624,7.9109176,0.5134061
14.5994756,27.8562183,7.9572438,2.1627941,-0.1515213,7.9238862,1.2066378
14.7994684,27.6885737,7.8480499,2.1339204,-0.1371792,7.9542825,1.8235385
14.9994613,27.5181914,7.7436356,2.1076516,-0.1255127,8.0000000,0.0000000
15.1994541,27.3454064,7.6436332,2.0835420,-0.1166696,8.0000000,0.0000000
15.3994469,27.1701690,7.5475907,2.0610147,-0.1094048,8.0000000,0.0000000
15.5994397,26.9924240,7.4551738,2.0397282,-0.1041029,8.0000000,0.0000000
15.7994325,26.8132577,7.3667441,2.0188015,-0.1050416,8.0000000,0.0000000
15.9994253,26.6326431,7.2822904,1.9972871,-0.1123087,8.0000000,0.0000000
16.1994182,26.4493400,7.2015366,1.9740015,-0.1191754,8.0000000,0.0000000
16.3994110,26.2639203,7.1250775,1.9496787,-0.1233493,8.0000000,0.0000000
16.5994038,26.0778881,7.0536734,1.9247891,-0.1263833,8.0000000,0.0000000
16.7993966,25.8891335,6.9866416,1.8991913,-0.1287113,8.0000000,0.0000000
16.9993894,25.6986660,6.9244818,1.8732633,-0.1302196,8.0000000,0.0000000
17.1993822,25.5074097,6.8675233,1.8472188,-0.1306384,8.0000000,0.0000000
17.3993751,25.3138953,6.8153582,1.8209728,-0.1309824,8.0000000,0.0000000
17.5993679,25.1195801,6.7684017,1.7948453,-0.1305514,8.0000000,0.0000000
17.7993607,24.9240562,6.7265213,1.7687973,-0.1296341,8.0000000,0.0000000
17.9993535,24.7270539,6.6896453,1.7429117,-0.1287879,8.0000000,0.0000000
18.1993463,24.5298814,6.6579614,1.7174054,-0.1267779,8.0000000,0.0000000
18.3993391,24.3315245,6.6312270,1.6921920,-0.1248586,8.0000000,0.0000000
18.5993320,24.1326914,6.6094691,1.6674686,-0.1224558,8.0000000,0.0000000
18.7993248,23.9333777,6.5925854,1.6432411,-0.1195312,8.0000000,0.0000000
18.9993176,23.7336952,6.5804722,1.6196228,-0.1166280,8.0000000,0.0000000
19.1993104,23.5337932,6.5730142,1.5966781,-0.1128452,8.0000000,0.0000000
19.3993032,23.3337778,6.5700715,1.5744613,-0.1090674,8.0000000,0.0000000
19.5992960,23.1338022,6.5714913,1.5530698,-0.1049247,8.0000000,0.0000000
19.7992889,22.9337402,6.5771117,1.5325030,-0.1004559,8.0000000,0.0000000
19.9992817,22.7341791,6.5867336,1.5128816,-0.0959636,8.0000000,0.0000000
20.1992745,22.5343766,6.6002127,1.4941535,-0.0911047,8.0000000,0.0000000
20.3992673,22.3351072,6.6173110,1.4764084,-0.0862996,8.0000000,0.0000000
20.5992601,22.1363139,6.6378291,1.4596473,-0.0814496,8.0000000,0.0000000
20.7992529,21.9374212,6.6616394,1.4438096,-0.0766887,8.0000000,0.0000000
20.9992458,21.7394878,6.6884207,1.4289629,-0.0720609,8.0000000,0.0000000
21.1992386,21.5415282,6.7181180,1.4149569,-0.0678772,8.0000000,0.0000000
21.3992314,21.3440170,6.7504976,1.4017903,-0.0636648,8.0000000,0.0000000
21.5992242,21.1475935,6.7852693,1.3895356,-0.0589034,8.0000000,0.0000000
21.7992170,20.9507380,6.8224867,1.3786642,-0.0494647,8.0000000,0.0000000
21.9992098,20.7546784,6.8615672,1.3697288,-0.0403672,8.0000000,0.0000000
22.1992027,20.5592083,6.9021720,1.3625176,-0.0318023,8.0000000,0.0000000
22.3991955,20.3634111,6.9441480,1.3569764,-0.0234723,8.0000000,0.0000000
22.5991883,20.1681288,6.9869735,1.3531256,-0.0152009,8.0000000,0.0000000
22.7991811,19.9730912,7.0303667,1.3508968,-0.0070787,8.0000000,0.0000000
22.9991739,19.7778386,7.0740997,1.3502689,0.0008251,8.0000000,0.0000000
23.1991667,19.5827329,7.1177661,1.3512265,0.0087161,8.0000000,0.0000000
23.3991596,19.3875365,7.1610957,1.3537512,0.0165375,8.0000000,0.0000000
23.5991524,19.1921824,7.2037827,1.3578434,0.0243764,8.0000000,0.0000000
23.7991452,18.9966558,7.2455100,1.3635007,0.0322689,8.0000000,0.0000000
23.9991380,18.8007407,7.2860005,1.3707456,0.0401643,8.0000000,0.0000000
24.1991308,18.6046725,7.3248813,1.3795947,0.0483322,8.0000000,0.0000000
24.3991236,18.4082084,7.3618712,1.3900776,0.0566848,8.0000000,-8.6607500
24.5991165,18.2111127,7.3966715,1.4022659,0.0651352,7.7804771,-8.9368248
24.7991093,18.0138949,7.4288463,1.4161899,0.0741569,7.5472659,-8.6204454
24.9991021,17.8161388,7.4581065,1.4319265,0.0835341,7.3152696,-8.3511441
25.1990949,17.6175905,7.4841017,1.4496118,0.0931062,7.0832783,-8.0927497
25.3990877,17.4191094,7.5063309,1.4692674,0.1036270,6.8509742,-7.8722672
25.5990805,17.2200027,7.5244643,1.4910468,0.1146488,6.6171787,-7.7020405
25.7990734,17.0201219,7.5380532,1.5151629,0.1259649,6.3801527,-7.4688373
25.9990662,16.8207418,7.5465480,1.5417559,0.1405101,6.1415731,-7.1519749
26.1990590,16.6207473,7.5494464,1.5714664,0.1594588,5.9040861,-6.7275146
26.3990518,16.4206114,7.5459484,1.6059084,0.1842885,5.6716245,-6.1731327
26.5990446,16.2213313,7.5350801,1.6457632,0.2165834,5.4496018,-5.4885967
26.7990374,16.0220541,7.5155339,1.6926030,0.2571346,5.2443112,-4.2178779
26.9990303,15.8247514,7.4857730,1.7505645,0.3218295,5.0809162,-3.3857706
27.1990231,15.6300501,7.4435308,1.8200066,0.3725357,4.9458518,-2.9829560
27.3990159,15.4374423,7.3864814,1.8986963,0.4079051,4.8237237,-2.9137531
27.5990087,15.2521748,7.3149049,1.9802679,0.4112707,4.7013669,-3.2909994
27.7990015,15.0706619,7.2269573,2.0640010,0.4180584,4.5592212,-3.5965285
27.9989943,14.8991035,7.1254075,2.1462527,0.4101538,4.3986292,-4.3390992
28.1989872,14.7350791,7.0090740,2.2293273,0.4118000,4.1967084,-4.9534459
28.3989800,14.5814770,6.8798214,2.3112125,0.4087752,3.9536128,-5.7973917
28.5989728,14.4384281,6.7376685,2.3954056,0.4226866,3.6485861,-6.5289394
28.7989656,14.3091759,6.5851683,2.4830067,0.4645914,3.2711922,-7.1284801
28.9989584,14.1918540,6.4165687,2.5871645,0.5562854,2.8016797,-7.7134046
29.1989512,14.0977977,6.2409418,2.7225216,0.8417448,2.1826951,-0.9104729
29.3989441,14.0371129,6.0482134,3.0059950,2.5407379,2.0976134,-0.0889484
29.5989369,14.0069389,5.8699728,2.9186394,2.7495164,2.0891156,-0.0889484
29.7989297,14.0040254,5.6698902,-2.9730513,1.5549584,2.0805830,5.1806327
29.9989225,14.0655166,5.4778488,-2.7036846,1.0710249,2.5300206,5.0139095
30.1989153,14.1650118,5.3056343,-2.5483079,0.6028044,2.8993958,5.1286720
30.3989081,14.2863932,5.1451509,-2.4477897,0.3860019,3.2338663,5.0868636
30.5989010,14.4169216,5.0004485,-2.3656085,0.4456566,3.5344821,5.0453961
30.7988938,14.5643904,4.8629758,-2.2797318,0.3676407,3.8092846,5.0042667
30.9988866,14.7232979,4.7359402,-2.2127551,0.3045530,4.0635310,4.9634725
31.1988794,14.8884710,4.6197950,-2.1562559,0.2570708,4.3008839,4.9230108
31.3988722,15.0578161,4.5134856,-2.1069970,0.2461174,4.5240176,4.8828790
31.5988650,15.2342895,4.4148209,-2.0525080,0.2961336,4.7349569,4.8430744
31.7988579,15.4129668,4.3283501,-1.9906573,0.2887679,4.9352788,-2.6714225
31.9988507,15.5958630,4.2520372,-1.9461062,0.1505207,4.8258105,-8.8626955
32.1988435,15.7823849,4.1801841,-1.9384836,-0.0756192,4.4433654,-7.6930589
32.3988363,15.9683770,4.1053132,-1.9753046,-0.2788013,4.0824481,-5.4325683
32.5988291,16.1489628,4.0206218,-2.0498084,-0.4735120,3.8070242,-4.0942343
32.7988219,16.3223929,3.9186234,-2.1604731,-0.6353376,3.5854984,-2.9156508
32.9988148,16.4808833,3.7956820,-2.3059072,-0.7975126,3.4190028,-1.5956780
33.1988076,16.6166345,3.6500779,-2.4825864,-0.9618346,3.3243544,-0.2234097
33.3988004,16.7223629,3.4814966,-2.6846233,-1.0946936,3.3108868,-0.2234097
33.5987932,16.7912224,3.2921551,-2.8962530,-0.9825088,3.2973642,1.0959760
33.7987860,16.8214414,3.0945064,-3.0762380,-0.7606592,3.3631808,3.1656728
33.9987788,16.8265908,2.8983180,-3.0972358,0.5543434,3.5464361,4.7715789
34.1987717,16.8373192,2.7032821,-3.1158529,-0.6088810,3.8060178,2.8846626
34.3987645,16.8289182,2.5033626,3.0318471,-0.6587495,3.9546928,1.3786820
34.5987573,16.7942001,2.3059845,2.9055924,-0.5925992,4.0238102,2.0752163
34.7987501,16.7355215,2.1126372,2.7895689,-0.5498010,4.1256642,2.2948816
34.9987429,16.6557498,1.9272052,2.6819039,-0.5251889,4.2354486,2.2130178
35.1987357,16.5585819,1.7538400,2.5806279,-0.4962137,4.3386864,2.2755294
35.3987286,16.4433607,1.5891611,2.4820672,-0.4779447,4.4423394,2.1658630
35.5987214,16.3133580,1.4368300,2.3889003,-0.4558261,4.5387987,2.1898162
35.7987142,16.1701041,1.2969955,2.3005553,-0.4227546,4.6342840,2.4829721
35.9987070,16.0154886,1.1697925,2.2188802,-0.3902980,4.7402259,2.7721609
36.1986998,15.8514380,1.0549613,2.1457713,-0.3411365,4.8557766,3.4759496
36.3986926,15.6799456,0.9516418,2.0816369,-0.3002314,4.9968886,3.9946774
36.5986855,15.5034482,0.8592293,2.0260967,-0.2566036,5.1542904,4.6414454
36.7986783,15.3213125,0.7755855,1.9774823,-0.2277364,5.3313433,4.7207224
36.9986711,15.1361726,0.7005735,1.9349021,-0.2011426,5.5055828,4.6822396
37.1986639,14.9481586,0.6330596,1.8969458,-0.1784540,5.6731182,4.6440706
37.3986567,14.7576257,0.5722692,1.8628434,-0.1628200,5.8345379,4.6062127
37.5986495,14.5653468,0.5177485,1.8318140,-0.1489630,5.9903465,4.5686634
37.7986424,14.3713593,0.4689406,1.8031272,-0.1377421,6.1409813,4.5314202
37.9986352,14.1763190,0.4255565,1.7764900,-0.1291408,6.2868238,4.4944806
38.1986280,13.9800300,0.3871836,1.7514834,-0.1212354,6.4282098,4.4578421
38.3986208,13.7827933,0.3535720,1.7279234,-0.1142874,6.5654363,4.4215023
38.5986136,13.5850903,0.3245140,1.7057571,-0.1076260,6.6987679,4.3854587
