d_m,x_m,y_m,psi_rad,k_radpm,v_mps,a_mps2
0.0000000,24.3023636,17.9747286,-1.6612329,-0.0808936,8.0000000,0.0000000
0.1997629,24.5011563,17.9550498,-1.6778528,-0.0855054,8.0000000,0.0000000
0.3995259,24.6995805,17.9319788,-1.6954000,-0.0902116,8.0000000,0.0000000
0.5992888,24.8975517,17.9053363,-1.7139001,-0.0950180,8.0000000,0.0000000
0.7990518,25.0949898,17.8749394,-1.7333709,-0.0999247,8.0000000,0.0000000
0.9988147,25.2917770,17.8406082,-1.7538275,-0.1049104,8.0000000,0.0000000
1.1985776,25.4877969,17.8021616,-1.7752901,-0.1099829,8.0000000,0.0000000
1.3983406,25.6829325,17.7594154,-1.7977805,-0.1151938,8.0000000,0.0000000
1.5981035,25.8770280,17.7121915,-1.8213191,-0.1205029,8.0000000,0.0000000
1.7978664,26.0699276,17.6603100,-1.8459309,-0.1259216,8.0000000,0.0000000
1.9976294,26.2614658,17.6035911,-1.8716407,-0.1314934,8.0000000,0.0000000
2.1973923,26.4514447,17.5418618,-1.8984729,-0.1371809,8.0000000,0.0000000
2.3971553,26.6396600,17.4749502,-1.9264563,-0.1430011,8.0000000,-0.4571871
2.5969182,26.8258877,17.4026891,-1.9556173,-0.1489767,7.9885757,-3.5964068
2.7966811,27.0098812,17.3249189,-1.9859849,-0.1550955,7.8981317,-3.3955096
2.9964441,27.1913783,17.2414854,-2.0175932,-0.1613824,7.8117790,-3.1925866
3.1962070,27.3700882,17.1522466,-2.0504679,-0.1677889,7.7297069,-2.9764815
3.3959700,27.5457075,17.0570680,-2.0846450,-0.1744727,7.6523975,-2.7434335
3.5957329,27.7179055,16.9558254,-2.1201944,-0.1814675,7.5804430,-2.5119626
3.7954958,27.8863155,16.8484132,-2.1571352,-0.1884307,7.5139551,-2.2368333
3.9952588,28.0505654,16.7347366,-2.1955148,-0.1960849,7.4542504,-1.9112713
4.1950217,28.2102385,16.6147120,-2.2355197,-0.2044738,7.4028539,-1.5918468
4.3947846,28.3648737,16.4882745,-2.2771635,-0.2125324,7.3597732,-1.3171792
4.5945476,28.5140066,16.3553862,-2.3203837,-0.2195381,7.3239344,-1.0843773
